Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code
BT1 1AA,Yes,54.602444,-5.922291,146778,530103,NW467301,"","Belfast","Duncairn",N09000003,N08000322,Northern Ireland,N99999999,"Belfast North",1990-02-01,,"","",139,72,"","","Duncairn 1","",,6,,95GG20S1,,N99999999,"(pseudo) Northern Ireland",,N00001131,N06000002,49,1,1,2019-11-23,"",,BT,BT1,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ32H+X3
BT1 1AE,No,54.602557,-5.93151,146183,530148,NW461301,"","Belfast","New Lodge",N09000003,N08000340,Northern Ireland,N99999999,"Belfast North",2000-06-01,2002-04-01,"","",,,"","","New Lodge 1","",,6,,95GG35S1,,N99999999,"(pseudo) Northern Ireland",,N00001352,N06000002,25,5,1,2019-11-23,"",,BT,BT1,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ339+29
BT1 1AF,No,54.602557,-5.93151,146183,530148,NW461301,"","Belfast","New Lodge",N09000003,N08000340,Northern Ireland,N99999999,"Belfast North",2000-12-01,2001-11-01,"","",,,"","","New Lodge 1","",,6,,95GG35S1,,N99999999,"(pseudo) Northern Ireland",,N00001352,N06000002,25,5,1,2019-11-23,"",,BT,BT1,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ339+29
BT1 1AG,No,54.602717,-5.922494,146766,530134,NW467301,"","Belfast","Duncairn",N09000003,N08000322,Northern Ireland,N99999999,"Belfast North",1996-12-01,1997-06-01,"","",,,"","","Duncairn 1","",,6,,95GG20S1,,N99999999,"(pseudo) Northern Ireland",,N00001131,N06000002,49,8,1,2019-11-23,"",,BT,BT1,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ33H+32
BT1 1AH,No,0,0,,,,"","","",,,Northern Ireland,,"",1996-06-01,2007-05-01,"","",,,"","","","",,,,,,,"",,,,0,9,1,2019-11-23,"",,BT,BT1,"","Northern Ireland Water",
BT1 1AL,Yes,54.600619,-5.93427,145993,529943,NW459299,"","Belfast","Central",N09000003,N08000315,Northern Ireland,N99999999,"Belfast West",1995-07-01,,"","",,,"","","Falls 3","",,7,,95GG21S3,,N99999999,"(pseudo) Northern Ireland",,N00001155,N06000004,29,1,1,2019-11-23,"",,BT,BT1,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ328+67
BT1 1AN,No,54.602717,-5.922494,146766,530134,NW467301,"","Belfast","Duncairn",N09000003,N08000322,Northern Ireland,N99999999,"Belfast North",1996-06-01,1998-12-01,"","",,,"","","Duncairn 1","",,6,,95GG20S1,,N99999999,"(pseudo) Northern Ireland",,N00001131,N06000002,49,8,1,2019-11-23,"",,BT,BT1,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ33H+32
BT1 1AP,No,0,0,,,,"","","",,,Northern Ireland,,"",1996-12-01,2007-05-01,"","",,,"","","","",,,,,,,"",,,,0,9,1,2019-11-23,"",,BT,BT1,"","Northern Ireland Water",
BT1 1AQ,No,54.602717,-5.922494,146766,530134,NW467301,"","Belfast","Duncairn",N09000003,N08000322,Northern Ireland,N99999999,"Belfast North",1996-12-01,1999-12-01,"","",,,"","","Duncairn 1","",,6,,95GG20S1,,N99999999,"(pseudo) Northern Ireland",,N00001131,N06000002,49,8,1,2019-11-23,"",,BT,BT1,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ33H+32
BT1 1AR,Yes,54.602717,-5.922494,146766,530134,NW467301,"","Belfast","Duncairn",N09000003,N08000322,Northern Ireland,N99999999,"Belfast North",1995-12-01,,"","",,,"","","Duncairn 1","",,6,,95GG20S1,,N99999999,"(pseudo) Northern Ireland",,N00001131,N06000002,49,1,1,2019-11-23,"",,BT,BT1,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ33H+32
BT1 1AS,No,54.602673,-5.922527,146764,530129,NW467301,"","Belfast","Duncairn",N09000003,N08000322,Northern Ireland,N99999999,"Belfast North",1998-12-01,2005-09-01,"","",,,"","","Duncairn 1","",,6,,95GG20S1,,N99999999,"(pseudo) Northern Ireland",,N00001131,N06000002,49,5,1,2019-11-23,"",,BT,BT1,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ33G+3X
BT1 1AT,No,54.602717,-5.922494,146766,530134,NW467301,"","Belfast","Duncairn",N09000003,N08000322,Northern Ireland,N99999999,"Belfast North",1998-12-01,2001-01-01,"","",,,"","","Duncairn 1","",,6,,95GG20S1,,N99999999,"(pseudo) Northern Ireland",,N00001131,N06000002,49,5,1,2019-11-23,"",,BT,BT1,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ33H+32
BT1 1AU,No,54.602717,-5.922494,146766,530134,NW467301,"","Belfast","Duncairn",N09000003,N08000322,Northern Ireland,N99999999,"Belfast North",1997-02-01,2000-09-01,"","",,,"","","Duncairn 1","",,6,,95GG20S1,,N99999999,"(pseudo) Northern Ireland",,N00001131,N06000002,49,8,0,2019-11-23,"",,BT,BT1,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ33H+32
BT1 1AX,No,54.602717,-5.922494,146766,530134,NW467301,"","Belfast","Duncairn",N09000003,N08000322,Northern Ireland,N99999999,"Belfast North",1997-02-01,2000-09-01,"","",,,"","","Duncairn 1","",,6,,95GG20S1,,N99999999,"(pseudo) Northern Ireland",,N00001131,N06000002,49,8,0,2019-11-23,"",,BT,BT1,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ33H+32
